stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
CVX,Chevron,107.48,101.0,117.27,130.0,15,-6.03,9.11,20.95
NKE,Nike,132.99,140.0,167.75,190.0,20,5.27,26.14,42.87
MDT,Medtronic,118.56,125.0,133.14,141.0,14,5.43,12.3,18.93
AAPL,Apple,121.21,80.0,150.65,175.0,25,-34.0,24.29,44.38
MSFT,Microsoft,236.48,245.0,282.57,315.0,23,3.6,19.49,33.2
AMZN,Amazon,3052.03,3700.0,4106.14,5200.0,31,21.23,34.54,70.38
FB,Facebook,283.02,285.0,345.52,375.0,34,0.7,22.08,32.5
GOOGL,Alphabet Class A,2024.73,2000.0,2358.47,2750.0,31,-1.22,16.48,35.82
GOOG,Alphabet Class C,2035.55,2000.0,2342.78,2750.0,6,-1.75,15.09,35.1
BRK.B,Berkshire Hathaway B,256.77,248.0,248.0,248.0,1,-3.42,-3.42,-3.42
JNJ,Johnson & Johnson,164.93,175.0,191.22,201.0,10,6.11,15.94,21.87
V,Visa,213.53,220.0,247.67,297.0,18,3.03,15.99,39.09
PG,Procter & Gamble,135.45,130.0,150.67,169.0,8,-4.02,11.24,24.77
JPM,JPMorgan Chase & Co.,155.09,131.0,154.35,185.0,17,-15.53,-0.48,19.29
TSLA,Tesla,618.71,67.0,633.08,1200.0,29,-89.17,2.32,93.95
NVDA,Nvidia,513.57,500.0,649.0,800.0,26,-2.64,26.37,55.77
HD,Home Depot,303.81,288.0,312.91,325.0,12,-5.2,3.0,6.97
MA,Mastercard,366.14,345.0,400.24,450.0,18,-5.77,9.31,22.9
UNH,UnitedHealth,376.48,370.0,396.67,420.0,9,-1.72,5.36,11.56
VZ,Verizon,58.18,57.0,61.89,66.0,11,-2.03,6.38,13.44
DIS,Walt Disney,185.92,124.0,207.95,230.0,23,-33.3,11.85,23.71
ADBE,Adobe,469.09,500.0,559.82,610.0,17,6.59,19.34,30.04
PYPL,Paypal Holdings,241.03,241.0,307.94,375.0,34,-0.01,27.76,55.58
CRM,Salesforce,209.09,225.0,274.5,320.0,25,7.61,31.28,53.04
MRK,Merck & Company,77.39,79.0,95.4,105.0,5,2.08,23.27,35.68
INTC,Intel,64.87,40.0,66.21,86.0,32,-38.34,2.07,32.57
T,AT&T,30.31,24.0,31.33,38.0,12,-20.82,3.37,25.37
PFE,Pfizer,36.25,36.0,39.86,42.0,7,-0.69,9.96,15.86
CMCSA,Comcast,55.18,48.0,61.32,70.0,20,-13.01,11.13,26.86
NFLX,Netflix,508.05,340.0,618.9,750.0,33,-33.08,21.82,47.62
BAC,Bank of America,38.68,30.0,36.97,44.0,16,-22.44,-4.42,13.75
KO,Coca-Cola,53.04,54.0,57.0,62.0,10,1.81,7.47,16.89
WMT,Walmart,135.13,131.0,161.83,180.0,21,-3.06,19.76,33.21
PEP,PepsiCo,142.7,136.0,151.57,161.0,8,-4.7,6.22,12.82
ABT,Abbott Labs,122.07,125.0,134.89,145.0,10,2.4,10.5,18.78
TMO,Thermo Fisher,460.06,520.0,563.58,600.0,11,13.03,22.5,30.42
CSCO,Cisco Systems,52.57,45.0,51.81,59.0,19,-14.4,-1.45,12.23
MCD,McDonald's,225.21,230.0,241.46,260.0,16,2.13,7.22,15.45
ABBV,AbbVie,105.98,115.0,124.57,135.0,8,8.51,17.54,27.38
XOM,Exxon Mobil,57.71,39.0,60.32,90.0,15,-32.42,4.52,55.95
ACN,Accenture,280.77,265.0,299.45,325.0,11,-5.62,6.65,15.75
COST,Costco,352.02,325.0,378.75,410.0,18,-7.68,7.59,16.47
AMGN,Amgen,252.86,200.0,263.87,300.0,16,-20.9,4.35,18.64
AVGO,Broadcom,482.04,440.0,519.86,580.0,22,-8.72,7.85,20.32
NEE,NextEra Energy,74.06,66.0,88.1,100.0,10,-10.88,18.96,35.03
BMY,Bristol Myers,63.94,77.0,78.5,80.0,4,20.43,22.77,25.12
UNP,Union Pacific,222.92,170.0,227.38,250.0,16,-23.74,2.0,12.15
LIN,Linde,281.4,255.42,293.88,325.1875,17,-9.23,4.43,15.56
DHR,Danaher,226.27,254.0,264.6,275.0,5,12.26,16.94,21.54
QCOM,Qualcomm,132.99,150.0,169.64,190.0,17,12.79,27.56,42.87
PM,Philip Morris,90.58,90.0,98.0,103.0,7,-0.64,8.19,13.71
TXN,Texas Instruments,188.2,155.0,189.87,220.0,15,-17.64,0.89,16.9
LLY,Eli Lilly & Co,185.31,210.0,230.8,256.0,11,13.32,24.55,38.15
LOW,Lowe's,191.61,181.0,200.64,215.0,13,-5.54,4.71,12.21
HON,Honeywell International,218.53,175.0,213.25,225.0,9,-19.92,-2.42,2.96
ORCL,Oracle,70.25,60.0,74.38,93.0,19,-14.59,5.88,32.38
UPS,United Parcel,167.98,155.0,187.2,205.0,9,-7.73,11.44,22.04
AMT,American Tower,238.82,230.0,272.5,324.0,10,-3.69,14.1,35.67
IBM,International Business Machines,136.38,122.0,137.25,147.0,5,-10.54,0.64,7.79
