stock_ticker,stock_name,curr_price,pred_low,pred_avg,pred_high,# of Analyst,% low/curr,% avg/curr,% high/curr
BILI,Bilibili,125.56,114.0,138.5,173.0,7,-9.21,10.31,37.78
BABA,Alibaba,229.44,270.0,301.6,350.0,26,17.68,31.45,52.55
NIO,Nio,50.34,50.0,63.63,81.0,6,-0.68,26.4,60.91
XPEV,"XPeng, Inc. ADR",44.32,43.0,49.92,57.0,5,-2.98,12.64,28.61
AAPL,Apple,136.33,90.0,157.92,185.0,27,-33.98,15.84,35.7
MSFT,Microsoft,271.4,270.0,299.58,340.0,26,-0.52,10.38,25.28
AMZN,Amazon,3448.14,3720.0,4281.25,5500.0,33,7.88,24.16,59.51
FB,Facebook,351.89,275.0,386.61,460.0,33,-21.85,9.87,30.72
TSLA,Tesla,680.76,67.0,608.36,1080.0,24,-90.16,-10.64,58.65
GOOG,Alphabet Class C,2520.37,2510.0,2700.0,2875.0,8,-0.41,7.13,14.07
NVDA,Nvidia,801.07,600.0,753.35,920.0,29,-25.1,-5.96,14.85
GOOGL,Alphabet Class A,2445.45,2415.0,2785.97,3127.0,28,-1.25,13.92,27.87
PYPL,Paypal Holdings,292.76,256.0,315.95,375.0,22,-12.56,7.92,28.09
ADBE,Adobe,590.75,575.0,628.16,665.0,20,-2.67,6.33,12.57
CMCSA,Comcast,56.54,49.0,64.33,75.0,17,-13.34,13.78,32.65
NFLX,Netflix,533.5,342.0,611.27,720.0,35,-35.9,14.58,34.96
INTC,Intel,56.75,40.0,63.59,85.0,25,-29.52,12.05,49.78
CSCO,Cisco Systems,52.91,49.0,56.25,65.0,19,-7.39,6.31,22.85
PEP,PepsiCo,146.94,149.0,156.0,165.0,8,1.4,6.17,12.29
AVGO,Broadcom,477.15,475.0,541.44,580.0,18,-0.45,13.47,21.56
TMUS,T Mobile US,144.99,133.0,159.57,190.0,14,-8.27,10.06,31.04
TXN,Texas Instruments,192.88,170.0,205.06,235.0,17,-11.86,6.31,21.84
COST,Costco,398.79,350.0,416.76,453.0,23,-12.23,4.51,13.59
QCOM,Qualcomm,142.62,122.0,171.08,200.0,16,-14.46,19.96,40.23
AMGN,Amgen,242.46,185.0,245.29,301.0,17,-23.7,1.17,24.14
CHTR,Charter Communications,717.46,660.0,756.54,816.0,14,-8.01,5.45,13.73
INTU,Intuit,491.4,460.0,500.2,540.0,15,-6.39,1.79,9.89
SBUX,Starbucks,112.27,104.0,125.38,140.0,23,-7.37,11.68,24.7
AMAT,Applied Materials,141.92,139.0,160.33,195.0,21,-2.06,12.97,37.4
ISRG,Intuitive Surgical,920.72,825.0,887.75,953.0,15,-10.4,-3.58,3.51
AMD,Advanced Micro Devices,89.52,90.0,106.54,135.0,17,0.54,19.01,50.8
MU,Micron,82.93,100.0,121.72,165.0,20,20.58,46.77,98.96
LRCX,Lam Research,651.79,690.0,740.0,825.0,19,5.86,13.53,26.57
ZM,Zoom Video Communications,394.73,250.0,407.81,495.0,18,-36.67,3.31,25.4
BKNG,Booking Holdings,2172.19,2225.0,2581.0,2850.0,15,2.43,18.82,31.2
MRNA,Moderna,234.46,100.0,192.82,246.0,13,-57.35,-17.76,4.92
MDLZ,Mondelez International,62.34,63.0,68.42,74.0,12,1.06,9.75,18.7
GILD,Gilead Sciences,67.93,63.0,79.8,100.0,12,-7.26,17.47,47.21
ADP,Automatic Data Processing,197.62,185.0,203.8,220.0,5,-6.39,3.13,11.32
MELI,Mercadolibre,1583,720.0,1902.4,2370.0,9,-54.52,20.18,49.72
ATVI,Activision Blizzard,95.61,102.0,118.76,125.0,16,6.68,24.21,30.74
CSX,CSX,31.56,98.0,108.38,118.0,13,210.52,243.41,273.89
FISV,Fiserv,106.59,124.0,142.45,160.0,13,16.33,33.64,50.11
ILMN,Illumina,479.18,300.0,423.64,520.0,10,-37.39,-11.59,8.52
ADSK,Autodesk,297.74,269.0,338.44,370.0,11,-9.65,13.67,24.27
ADI,Analog Devices,171.4,165.0,183.0,200.0,11,-3.73,6.77,16.69
JD,JD,79.75,80.0,99.29,115.0,14,0.31,24.5,44.2
NXPI,NXP Semiconductors,207.7,200.0,225.13,240.0,16,-3.71,8.39,15.55
REGN,Regeneron,545.98,495.0,637.4,725.0,11,-9.34,16.74,32.79
ASML,ASML Holding,703.68,700.0,756.67,820.0,3,-0.52,7.53,16.53
DOCU,DocuSign,284.48,215.0,270.92,310.0,13,-24.42,-4.77,8.97
IDXX,Idexx Laboratories,637.08,616.0,616.0,616.0,2,-3.31,-3.31,-3.31
BIDU,Baidu,207.67,215.0,308.13,372.0,16,3.53,48.37,79.13
BIIB,Biogen,345.72,244.0,430.09,647.0,26,-29.42,24.4,87.15
VRTX,Vertex Pharmaceuticals,196.78,200.0,261.68,331.0,23,1.64,32.98,68.21
KHC,Kraft Heinz,40.58,41.0,42.22,44.0,10,1.03,4.04,8.43
KDP,Keurig Dr Pepper,35.0525,33.0,37.71,42.0,9,-5.86,7.58,19.82
KLAC,Kla-Tencor,325.2,325.0,364.0,380.0,8,-0.06,11.93,16.85
ALGN,Align Tech,612.8,600.0,716.3,770.0,10,-2.09,16.89,25.65
MNST,Monster Beverage,91.56,97.0,106.44,115.0,11,5.94,16.25,25.6
MRVL,Marvell,58.76,49.0,60.61,70.0,21,-16.61,3.15,19.13
PDD,Pinduoduo,133.55,125.0,163.0,221.0,9,-6.4,22.05,65.48
EBAY,Ebay,70.49,63.0,70.63,80.0,16,-10.63,0.2,13.49
WDAY,Workday,246.39,258.0,280.38,310.0,13,4.71,13.8,25.82
LULU,Lululemon Athletica,366.66,275.0,397.65,450.0,17,-25.0,8.45,22.73
WBA,Walgreens Boots Alliance,51.99,50.0,57.75,72.0,10,-3.83,11.08,38.49
MAR,Marriott International,135,133.0,137.86,140.0,7,-1.48,2.12,3.7
EXC,Exelon,44.56,38.0,50.43,60.0,8,-14.72,13.17,34.65
MTCH,Match Group,162.28,145.0,169.2,180.0,8,-10.65,4.26,10.92
ROST,Ross Stores,122.16,125.0,139.25,153.0,14,2.32,13.99,25.25
AEP,American Electric Power,83.93,91.0,98.7,105.0,10,8.42,17.6,25.1
SNPS,Synopsys,276.18,302.0,318.33,333.0,4,9.35,15.26,20.57
MCHP,Microchip,152.82,165.0,184.0,200.0,9,7.97,20.4,30.87
DXCM,Dexcom,426.8,380.0,466.83,500.0,11,-10.97,9.38,17.15
EA,Electronic Arts,144.1,140.0,163.16,181.0,19,-2.85,13.23,25.61
ALXN,Alexion Pharmaceuticals,184.3,173.0,183.6,205.0,7,-6.13,-0.38,11.23
CTAS,Cintas,382.52,389.0,400.0,411.0,2,1.69,4.57,7.45
ORLY,O'Reilly Auto,564.97,496.0,582.55,650.0,12,-12.21,3.11,15.05
PAYX,Paychex,107.54,89.0,104.42,118.0,11,-17.24,-2.9,9.73
CDNS,Cadence Design,138.35,147.0,158.83,165.0,6,6.25,14.8,19.26
CTSH,Cognizant,70.42,74.0,89.45,99.0,12,5.08,27.02,40.59
XEL,Xcel Energy,65.71,66.0,72.29,76.0,6,0.44,10.01,15.66
TEAM,Atlassian,264.15,240.0,281.38,350.0,15,-9.14,6.52,32.5
PTON,Peloton Interactive,125.68,74.0,132.43,185.0,23,-41.12,5.37,47.2
NTES,NetEase,114.74,110.0,135.57,159.0,7,-4.13,18.15,38.57
XLNX,Xilinx,139.57,130.0,131.67,135.0,5,-6.86,-5.66,-3.27
CPRT,Copart,133.31,130.0,140.33,146.0,4,-2.48,5.27,9.52
OKTA,Okta,248.04,235.0,274.56,316.0,18,-5.26,10.69,27.4
PCAR,Paccar,88.17,88.0,104.0,120.0,8,-0.19,17.95,36.1
ANSS,Ansys,352.53,271.0,360.56,405.0,8,-23.13,2.28,14.88
SWKS,Skyworks Solutions,190.95,182.0,214.6,245.0,16,-4.69,12.39,28.31
FAST,Fastenal Company,51.77,48.0,50.33,54.0,4,-7.28,-2.78,4.31
SGEN,Seagen,158.59,145.0,179.33,254.0,13,-8.57,13.08,60.16
VRSK,Verisk Analytics,174.33,180.0,191.86,215.0,7,3.25,10.06,23.33
MXIM,Maxim Integrated,104.96,96.0,104.67,114.0,5,-8.54,-0.28,8.61
SIRI,Sirius XM Holdings,6.55,5.25,7.21,8.0,6,-19.85,10.08,22.14
VRSN,Verisign,229.78,245.0,252.5,260.0,2,6.62,9.89,13.15
CDW,CDW,176.33,190.0,198.0,210.0,5,7.75,12.29,19.09
CERN,Cerner,78.36,74.0,83.17,89.0,6,-5.56,6.14,13.58
SPLK,Splunk,143.88,125.0,163.87,215.0,29,-13.12,13.89,49.43
DLTR,Dollar Tree,99.48,100.0,114.0,130.0,11,0.52,14.6,30.68
INCY,Incyte,84.7,85.0,106.17,144.0,9,0.35,25.35,70.01
TCOM,TripCom Group,35.51,45.0,48.88,51.0,10,26.72,37.65,43.62
CHKP,Check Point,116.79,125.0,133.63,153.0,10,7.03,14.42,31.0
FOXA,Fox,36.83,29.0,41.5,50.0,14,-21.26,12.68,35.76
FOX,Fox,35.04,39.0,42.0,45.0,2,11.3,19.86,28.42
BRK.B,Berkshire Hathaway B,276.21,303.0,303.0,303.0,1,9.7,9.7,9.7
JPM,JPMorgan Chase & Co.,154.14,139.0,172.92,200.0,14,-9.82,12.18,29.75
JNJ,Johnson & Johnson,164.03,183.0,192.8,201.0,7,11.56,17.54,22.54
V,Visa,235.95,245.0,269.16,297.0,21,3.84,14.08,25.87
UNH,UnitedHealth,398.1,394.0,444.79,515.0,19,-1.03,11.73,29.36
HD,Home Depot,318.24,310.0,353.31,386.0,18,-2.59,11.02,21.29
PG,Procter & Gamble,134.4,119.0,147.08,168.0,12,-11.46,9.43,25.0
MA,Mastercard,368,370.0,425.38,460.0,18,0.54,15.59,25.0
DIS,Walt Disney,173.93,163.0,211.81,230.0,19,-6.28,21.78,32.24
BAC,Bank of America,40.89,37.0,45.27,52.0,13,-9.51,10.71,27.17
XOM,Exxon Mobil,62.62,55.0,69.75,90.0,11,-12.17,11.39,43.72
VZ,Verizon,55.84,50.0,59.44,64.0,11,-10.46,6.45,14.61
CRM,Salesforce,245.81,200.0,277.8,320.0,24,-18.64,13.01,30.18
PFE,Pfizer,39.1,39.0,44.2,55.0,12,-0.26,13.04,40.66
KO,Coca-Cola,53.86,57.0,60.45,64.0,12,5.83,12.24,18.83
ABT,Abbott Labs,117.21,115.0,124.06,136.0,15,-1.89,5.84,16.03
T,AT&T,28.66,23.0,31.46,36.0,15,-19.75,9.77,25.61
CVX,Chevron,103.76,109.0,123.0,149.0,9,5.05,18.54,43.6
ABBV,AbbVie,112.3,105.0,122.82,135.0,11,-6.5,9.37,20.21
TMO,Thermo Fisher,508.24,530.0,554.29,590.0,7,4.28,9.06,16.09
MRK,Merck & Company,77.21,75.0,90.33,102.0,10,-2.86,16.99,32.11
NKE,Nike,155.95,150.0,181.27,214.0,23,-3.82,16.24,37.22
WMT,Walmart,137.3,150.0,167.24,184.0,19,9.25,21.81,34.01
WFC,Wells Fargo,44.79,40.0,48.5,60.0,17,-10.69,8.28,33.96
ACN,Accenture,296.43,288.0,322.5,342.0,18,-2.84,8.79,15.37
LLY,Eli Lilly & Co,229.37,190.0,237.0,300.0,12,-17.16,3.33,30.79
DHR,Danaher,270.87,270.0,296.36,325.0,11,-0.32,9.41,19.98
MCD,McDonald's,230.37,225.0,257.83,283.0,24,-2.33,11.92,22.85
MDT,Medtronic,124.54,130.0,142.33,153.0,17,4.38,14.28,22.85
PM,Philip Morris,97.94,105.0,110.63,115.0,8,7.21,12.96,17.42
LIN,Linde,290.37,286.248,326.63,358.0,20,-1.42,12.49,23.29
HON,Honeywell International,215.95,215.0,238.18,260.0,13,-0.44,10.29,20.4
BMY,Bristol Myers,66.27,62.0,73.2,78.0,8,-6.44,10.46,17.7
UPS,United Parcel,207.61,130.0,221.22,261.0,19,-37.38,6.56,25.72
C,Citigroup,69.68,73.0,89.04,118.0,13,4.76,27.78,69.35
NEE,NextEra Energy,74.08,77.0,87.0,97.0,7,3.94,17.44,30.94
UNP,Union Pacific,218.65,195.0,240.14,262.0,14,-10.82,9.83,19.83
ORCL,Oracle,78.1,54.0,77.63,93.0,18,-30.86,-0.6,19.08
LOW,Lowe's,194.2,205.0,230.71,250.0,20,5.56,18.8,28.73
BA,Boeing,235.76,229.0,269.69,310.0,15,-2.87,14.39,31.49
MS,Morgan Stanley,90.64,79.0,97.2,115.0,16,-12.84,7.24,26.88
IBM,International Business Machines,145.55,121.0,151.75,175.0,8,-16.87,4.26,20.23
RTX,Raytheon Technologies,84.44,85.0,95.17,105.0,13,0.66,12.71,24.35
GS,Goldman Sachs Group,372.62,330.0,406.71,500.0,17,-11.44,9.15,34.18
BLK,Blackrock,873.53,850.0,930.42,1005.0,13,-2.69,6.51,15.05
AMT,American Tower,272.79,250.0,279.22,295.0,9,-8.35,2.36,8.14
TGT,Target,241.85,216.0,251.44,300.0,20,-10.69,3.97,24.04
CAT,Caterpillar,215.1,181.0,251.38,303.0,15,-15.85,16.87,40.86
MMM,3M,196.03,181.0,199.0,218.0,8,-7.67,1.52,11.21
GE,General Electric,13.09,5.0,13.89,17.0,10,-61.8,6.11,29.87
CVS,CVS Health,83.49,80.0,95.25,103.0,18,-4.18,14.09,23.37
SCHW,Charles Schwab,73.22,68.0,81.21,93.0,15,-7.13,10.91,27.01
DE,Deere,348.93,330.0,421.15,455.0,14,-5.43,20.7,30.4
NOW,ServiceNow,558.59,520.0,615.17,695.0,19,-6.91,10.13,24.42
AXP,American Express,164.25,130.0,159.67,197.0,15,-20.85,-2.79,19.94
SPGI,S&P Global,410.58,429.0,440.33,460.0,7,4.49,7.25,12.04
ANTM,Anthem,381.56,335.0,417.59,460.0,17,-12.2,9.44,20.56
LMT,Lockheed Martin,373.42,370.0,414.4,458.0,11,-0.92,10.97,22.65
PLD,Prologis,121.45,120.0,129.11,142.0,8,-1.19,6.31,16.92
FIS,Fidelity National Info,141.92,150.0,170.8,194.0,14,5.69,20.35,36.7
ZTS,Zoetis,187.99,180.0,193.33,208.0,6,-4.25,2.84,10.64
MO,Altria Group,46.78,48.0,55.0,59.0,9,2.61,17.57,26.12
CCI,Crown Castle,197.35,180.0,202.38,210.0,12,-8.79,2.55,6.41
SYK,Stryker,260.44,248.0,279.5,303.0,19,-4.78,7.32,16.34
CI,Cigna,236.69,230.0,296.87,321.0,15,-2.83,25.43,35.62
PNC,PNC Financial,190.47,159.0,197.0,232.0,17,-16.52,3.43,21.8
COP,Conocophillips,59.05,60.0,71.56,85.0,16,1.61,21.19,43.95
